Warehouse,TimeTaken,Result,Cost
1,0.025864362716674805,Solved,8
3,0.12691402435302734,Solved,13
5,0.0024209022521972656,Impossible,0
7,180.04308581352234,Timeout,0
9,0.09569668769836426,Solved,10
11,2.3142921924591064,Solved,16
13,33.23275709152222,Solved,21
15,0.2626969814300537,Solved,12
17,0.6349179744720459,Solved,9
19,1.2177274227142334,Solved,20
21,0.16455698013305664,Solved,5
23,0.17725205421447754,Impossible,0
25,0.25214695930480957,Solved,7
27,0.25051403045654297,Solved,10
29,2.0958709716796875,Impossible,0
31,0.45038509368896484,Solved,6
33,0.19960498809814453,Impossible,0
35,148.06605696678162,Impossible,0
37,180.18588876724243,Timeout,0
39,0.24553680419921875,Impossible,0
41,1.9500350952148438,Solved,13
43,3.7543771266937256,Impossible,0
45,3.772294282913208,Solved,11
47,3.4846715927124023,Solved,22
49,180.28055715560913,Timeout,0
51,0.6832728385925293,Solved,8
53,6.47287917137146,Solved,12
55,0.9711616039276123,Impossible,0
57,6.1994309425354,Solved,23
59,0.42552757263183594,Impossible,0
61,0.549741268157959,Impossible,0
63,0.955810546875,Impossible,0
65,180.87648749351501,Timeout,0
67,0.6789484024047852,Solved,8
69,180.61851620674133,Timeout,0
71,0.9578559398651123,Impossible,0
73,0.6948418617248535,Impossible,0
