Warehouse,TimeTaken,Result,Cost
1,0.024849653244018555,Solved,8
3,0.07841992378234863,Solved,13
5,0.008883476257324219,Impossible,0
7,82.30023407936096,Solved,6
9,0.011290788650512695,Solved,10
11,0.21378493309020996,Solved,16
13,1.2461521625518799,Solved,21
15,0.029952049255371094,Solved,12
17,0.15466666221618652,Solved,9
19,0.09077262878417969,Solved,20
21,0.00508570671081543,Solved,5
23,0.0081939697265625,Impossible,0
25,0.10382747650146484,Solved,7
27,0.07722997665405273,Solved,10
29,0.10874581336975098,Impossible,0
31,0.09866571426391602,Solved,6
33,0.0010378360748291016,Impossible,0
35,4.299543142318726,Impossible,0
37,0.9210560321807861,Solved,23
39,0.0032830238342285156,Impossible,0
41,0.17595481872558594,Solved,13
43,0.26982975006103516,Impossible,0
45,0.45500826835632324,Solved,11
47,0.164902925491333,Solved,22
49,0.5500626564025879,Impossible,0
51,0.04882955551147461,Solved,8
53,0.5135235786437988,Solved,12
55,0.03126120567321777,Impossible,0
57,0.16455459594726562,Solved,23
59,0.01999950408935547,Impossible,0
61,0.002038240432739258,Impossible,0
63,0.0019512176513671875,Impossible,0
65,55.921669483184814,Solved,41
67,0.10376548767089844,Solved,8
69,26.329246282577515,Solved,37
71,0.010806560516357422,Impossible,0
73,0.0010464191436767578,Impossible,0
