Warehouse,TimeTaken,Result,Cost
1,1.0000083446502686,Solved,37
3,0.7520091533660889,Solved,59
5,0.9072442054748535,Impossible,0
7,181.59550166130066,Timeout,0
9,1.084867238998413,Solved,30
11,0.639503002166748,Solved,198
13,1.3208045959472656,Solved,239
15,0.9344527721405029,Solved,49
17,1.2730627059936523,Solved,36
19,0.9220211505889893,Solved,59
21,1.290677785873413,Solved,17
23,0.7419724464416504,Impossible,0
25,1.1911370754241943,Solved,128
27,0.7835578918457031,Solved,72
29,0.6837882995605469,Impossible,0
31,0.9655277729034424,Solved,75
33,0.6423256397247314,Impossible,0
35,2.091550588607788,Impossible,0
37,0.9183478355407715,Solved,215
39,0.6693780422210693,Impossible,0
41,1.1676959991455078,Solved,122
43,0.6817846298217773,Impossible,0
45,1.2146482467651367,Solved,75
47,0.6994972229003906,Solved,111
49,1.2001774311065674,Impossible,0
51,1.4031944274902344,Solved,54
53,0.8938369750976562,Solved,97
55,0.6851661205291748,Impossible,0
57,1.141681432723999,Solved,94
59,0.9246580600738525,Impossible,0
61,0.8112449645996094,Impossible,0
63,0.8480877876281738,Impossible,0
65,11.155464887619019,Solved,744
67,0.8990659713745117,Solved,95
69,70.09590101242065,Solved,822
71,0.8499488830566406,Impossible,0
73,0.5321135520935059,Impossible,0
