Warehouse,TimeTaken,Result,Cost
1,0.015167951583862305,Solved,10
3,0.06071209907531738,Solved,13
5,0.0022530555725097656,Impossible,0
7,164.99541664123535,Solved,536
9,0.016272306442260742,Solved,10
11,0.09121417999267578,Solved,24
13,0.45980310440063477,Solved,45
15,0.016607999801635742,Solved,16
17,0.019375324249267578,Solved,11
19,0.040670156478881836,Solved,20
21,0.0034079551696777344,Solved,5
23,0.00900125503540039,Impossible,0
25,0.18009567260742188,Solved,33
27,0.02638840675354004,Solved,12
29,0.11786913871765137,Impossible,0
31,0.07166242599487305,Solved,18
33,0.002016782760620117,Impossible,0
35,4.4144446849823,Impossible,0
37,0.047069549560546875,Solved,25
39,0.003307819366455078,Impossible,0
41,0.03633546829223633,Solved,15
43,0.3350648880004883,Impossible,0
45,0.26171088218688965,Solved,15
47,0.05738234519958496,Solved,44
49,0.6748223304748535,Impossible,0
51,0.04848766326904297,Solved,12
53,0.09383368492126465,Solved,20
55,0.03478884696960449,Impossible,0
57,0.13375186920166016,Solved,23
59,0.024008512496948242,Impossible,0
61,0.002832651138305664,Impossible,0
63,0.0026276111602783203,Impossible,0
65,9.130428075790405,Solved,193
67,0.04891657829284668,Solved,14
69,2.0402626991271973,Solved,91
71,0.01621079444885254,Impossible,0
73,0.0025179386138916016,Impossible,0
