Warehouse,TimeTaken,Result,Cost
1,0.7107908725738525,Solved,33
3,0.7748234272003174,Solved,59
5,0.6603796482086182,Impossible,0
7,1.2376151084899902,Solved,52
9,0.9623334407806396,Solved,30
11,0.8161776065826416,Solved,78
13,2.467813491821289,Solved,81
15,1.0399186611175537,Solved,37
17,1.0292956829071045,Solved,26
19,0.575812816619873,Solved,48
21,1.0444767475128174,Solved,17
23,1.3456954956054688,Impossible,0
25,0.7346599102020264,Solved,33
27,1.1535556316375732,Solved,50
29,1.2351367473602295,Impossible,0
31,0.743645429611206,Solved,21
33,0.9743261337280273,Impossible,0
35,39.34747886657715,Impossible,0
37,1.6132068634033203,Solved,101
39,0.5833396911621094,Impossible,0
41,1.164257287979126,Solved,62
43,1.9005358219146729,Impossible,0
45,1.5753767490386963,Solved,57
47,1.1573009490966797,Solved,101
49,4.194498300552368,Impossible,0
51,1.1484332084655762,Solved,34
53,1.3633291721343994,Solved,57
55,0.8658912181854248,Impossible,0
57,0.9819505214691162,Solved,60
59,0.7558441162109375,Impossible,0
61,0.9021985530853271,Impossible,0
63,0.539179801940918,Impossible,0
65,25.122289896011353,Solved,190
67,0.600252628326416,Solved,57
69,78.3243203163147,Solved,158
71,0.44959235191345215,Impossible,0
73,0.6719725131988525,Impossible,0
