Warehouse,TimeTaken,Result,Cost
1,0.5205042362213135,Solved,8
3,0.9516210556030273,Solved,15
5,0.43557214736938477,Impossible,0
7,1.494802713394165,Solved,8
9,0.557835578918457,Solved,10
11,1.020024299621582,Solved,16
13,4.544818878173828,Solved,27
15,0.8327105045318604,Solved,12
17,0.3555581569671631,Solved,9
19,0.9607670307159424,Solved,20
21,0.5998141765594482,Solved,5
23,0.4790682792663574,Impossible,0
25,0.5975511074066162,Solved,7
27,0.538710355758667,Solved,10
29,1.9237182140350342,Impossible,0
31,1.1601827144622803,Solved,8
33,1.1585297584533691,Impossible,0
35,180.8635401725769,Timeout,0
37,1.732187032699585,Solved,25
39,0.7310898303985596,Impossible,0
41,0.9210443496704102,Solved,13
43,3.449897289276123,Impossible,0
45,1.1750383377075195,Solved,11
47,1.8407559394836426,Solved,22
49,84.93884587287903,Impossible,0
51,1.128535270690918,Solved,8
53,2.891949415206909,Solved,16
55,1.7519640922546387,Impossible,0
57,1.5677461624145508,Solved,23
59,0.9857094287872314,Impossible,0
61,0.5383436679840088,Impossible,0
63,0.8750057220458984,Impossible,0
65,43.75504732131958,Solved,41
67,1.0986809730529785,Solved,10
69,45.17112851142883,Solved,41
71,0.878441333770752,Impossible,0
73,0.39359354972839355,Impossible,0
