Warehouse,TimeTaken,Result,Cost
1,0.8785490989685059,Solved,33
3,0.9150819778442383,Solved,41
5,0.950603723526001,Impossible,0
7,180.73052620887756,Timeout,0
9,1.0695514678955078,Solved,30
11,3.229320764541626,Solved,78
13,62.166847705841064,Solved,52
15,0.7536120414733887,Solved,37
17,3.0681920051574707,Solved,25
19,1.1224009990692139,Solved,41
21,0.8842306137084961,Solved,17
23,1.0744273662567139,Impossible,0
25,2.074202299118042,Solved,29
27,1.0845928192138672,Solved,50
29,27.78890585899353,Impossible,0
31,1.821941614151001,Solved,17
33,1.1604197025299072,Impossible,0
35,181.1488916873932,Timeout,0
37,112.22448825836182,Solved,71
39,2.37320876121521,Impossible,0
41,3.882567882537842,Solved,50
43,16.800951719284058,Impossible,0
45,29.995325803756714,Solved,45
47,2.8309803009033203,Solved,83
49,14.631795883178711,Impossible,0
51,2.99540638923645,Solved,34
53,1.2761669158935547,Solved,37
55,1.714646339416504,Impossible,0
57,1.1497642993927002,Solved,60
59,1.843005895614624,Impossible,0
61,1.332115650177002,Impossible,0
63,1.7646806240081787,Impossible,0
65,180.66342878341675,Timeout,0
67,1.5217018127441406,Solved,37
69,181.35558342933655,Timeout,0
71,2.2554266452789307,Impossible,0
73,1.3181140422821045,Impossible,0
