Warehouse,TimeTaken,Result,Cost
1,0.02775859832763672,Solved,8
3,0.18819856643676758,Solved,13
5,0.0,Impossible,0
7,180.04565286636353,Timeout,0
9,0.11206555366516113,Solved,10
11,3.5653514862060547,Solved,16
13,180.1164834499359,Timeout,0
15,0.7241780757904053,Solved,12
17,3.4764504432678223,Solved,9
19,3.2072489261627197,Solved,20
21,0.2521073818206787,Solved,5
23,0.20417046546936035,Impossible,0
25,0.9745650291442871,Solved,7
27,0.8330507278442383,Solved,10
29,5.532378196716309,Impossible,0
31,1.4154491424560547,Solved,6
33,0.33000755310058594,Impossible,0
35,180.323237657547,Timeout,0
37,180.31650400161743,Timeout,0
39,0.3777177333831787,Impossible,0
41,9.869311332702637,Solved,13
43,6.593709707260132,Impossible,0
45,13.698283433914185,Solved,11
47,6.6796815395355225,Solved,22
49,180.48023867607117,Timeout,0
51,1.1138780117034912,Solved,8
53,21.96989107131958,Solved,12
55,1.741652488708496,Impossible,0
57,40.119566917419434,Solved,23
59,0.6523187160491943,Impossible,0
61,0.2772953510284424,Impossible,0
63,0.23368382453918457,Impossible,0
65,180.56402683258057,Timeout,0
67,2.1548407077789307,Solved,8
69,180.78200936317444,Timeout,0
71,0.8883199691772461,Impossible,0
73,0.5259966850280762,Impossible,0
